recording_id,roi,label,atlas_region,base_region,side,n_rois_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2018-11-03_5,186,PLP_L_186,PLP_L,PLP,L,693,2000,398,0.052275880556910306,0.16721155013271052,0.2676672798951789,-0.44947172143549613,0.01834852,0.49404171053890833,-0.0017403547680328432,-0.9058186988334898,0.001581782133636584,0.40093072088954146
2018-11-03_5,187,PLP_L_187,PLP_L,PLP,L,693,2000,398,0.04561589056342258,-0.09359292030534754,0.2673601632569226,-0.5228166762223442,0.018126545,0.2921384343123412,-0.0011112383974586867,-0.578376626288442,0.0020602479366197256,0.706800863635693
2018-11-03_5,761,PVLP_L_761,PVLP_L,PVLP,L,693,2000,398,0.021055288820174402,-1.0553833640674743,0.2657392903011487,-0.9099101737658952,0.01854115,0.6692525915975706,0.00027423416132462677,0.14273321494533286,-0.0005632894715251175,-0.9703550721196686
2018-11-03_5,762,PVLP_L_762,PVLP_L,PVLP,L,693,2000,398,0.03232794999121661,-0.6139472012479994,0.26436548074376104,-1.2380005059745847,0.018429017,0.5672590097820807,-0.0007807333453025432,-0.4063555752929804,-0.0003442705465198358,-0.8303422447915795
2018-11-03_5,763,PVLP_L_763,PVLP_L,PVLP,L,693,2000,398,0.01933600395600781,-1.1227103689082607,0.2646639305877025,-1.1667253369238042,0.018445002,0.581798783525715,0.00022787935062812243,0.11860649372673826,-0.0002578696642458611,-0.7751085164252802
2018-11-03_5,764,PVLP_L_764,PVLP_L,PVLP,L,693,2000,398,0.024307845569077464,-0.928013602056291,0.2651448252290784,-1.0518790819986168,0.018527705,0.6570237303902118,-0.0003369420812589068,-0.17537139164629864,-0.0005778611719748274,-0.9796703629279523
2018-11-03_5,765,PVLP_L_765,PVLP_L,PVLP,L,693,2000,398,0.050209204882323166,0.08628075963528352,0.2689662899156301,-0.13924485857783017,0.01755263,-0.22988213736266333,0.00011191793819727926,0.058250974465726434,0.0020033151162280843,0.6704052638006388
2018-11-03_5,766,PVLP_L_766,PVLP_L,PVLP,L,693,2000,398,0.02263972849066519,-0.9933368820746389,0.26628056295508323,-0.7806445678528344,0.018995147,1.0821977527168858,-9.776231216406718e-05,-0.05088326358855222,,
2018-11-03_5,767,PVLP_L_767,PVLP_L,PVLP,L,693,2000,398,0.03682355278496358,-0.43789989380917427,0.2680647890330547,-0.35453941848249204,0.01867614,0.7920359151525312,-5.9310272147588305e-05,-0.03086977122768728,0.003888754189702609,1.8757150580371644
2018-11-03_5,768,PVLP_L_768,PVLP_L,PVLP,L,693,2000,398,0.039061729786644406,-0.3502531303394412,0.267823503706591,-0.41216267673604506,0.01847564,0.6096669655705813,-0.0008479040587116356,-0.4413165437906362,0.003241706523903635,1.4620751266825098
2018-11-03_5,769,PVLP_L_769,PVLP_L,PVLP,L,693,2000,398,0.03544773176574653,-0.49177689252618645,0.266148328982391,-0.8122244093210874,0.018123735,0.28958186025278115,-0.0007276509247849442,-0.37872727216342195,0.0033474201495760983,1.529654965352378
2018-11-03_5,770,PVLP_L_770,PVLP_L,PVLP,L,693,2000,398,0.02895927327823985,-0.7458642081900522,0.2658554697342211,-0.8821644439538064,0.018337673,0.48417458838988403,-0.00025120340260768555,-0.13074618087772832,0.0014787893736715248,0.335090257483544
2018-11-03_5,771,PVLP_L_771,PVLP_L,PVLP,L,693,2000,398,0.031224603530003232,-0.6571541264547693,0.2646790269370747,-1.1631200582634353,0.01792667,0.11033704756004838,-0.00042865157929502124,-0.22310429054003614,0.005288349224302939,2.770438004485839
2018-11-03_5,303,SCL_L_303,SCL_L,SCL,L,693,2000,398,0.031328688775413435,-0.6530781597737132,0.268033944234744,-0.3619057088611243,0.01846267,0.5978684355833207,-0.00023056024004506067,-0.12000184127769327,0.005902614052661999,3.1631207616707786
2018-11-03_5,304,SCL_L_304,SCL_L,SCL,L,693,2000,398,0.033704969293896395,-0.5600232778833169,0.26871753381384644,-0.1986522718064374,0.017901044,0.08702800454386077,-0.00044850535243964954,-0.23343776925778636,-0.0005223773379930384,-0.9442010605989173
2018-11-03_5,305,SCL_L_305,SCL_L,SCL,L,693,2000,398,0.03964183421344371,-0.327536305242391,0.27010026474978094,0.13156864541344035,0.018497443,0.6294977802605417,-0.0001803161051511937,-0.09385080717272161,-4.0404489192274154e-05,-0.6360889590791912
2018-11-03_5,306,SCL_L_306,SCL_L,SCL,L,693,2000,398,0.05295067439028531,0.1936364019028063,0.2707195198103909,0.2794578469879071,0.018564815,0.6907776236894926,-0.0010801954040131558,-0.5622193895874956,0.0014509781306099607,0.31731128805218367
2018-11-03_5,307,SCL_L_307,SCL_L,SCL,L,693,2000,398,0.046260349658828026,-0.06835597351405243,0.26896755472158956,-0.13894280025745423,0.01897226,1.0613809034989836,-0.0005630470221496128,-0.29305434176625794,0.0004232959896129957,-0.3396578855116952
2018-11-03_5,308,SCL_L_308,SCL_L,SCL,L,693,2000,398,0.04805783475777778,0.00203334385883928,0.2664764365734346,-0.7338664389846493,0.01828042,0.4320994281057905,-0.0013287082634801637,-0.6915651983505207,0.00178426213098062,0.5303706626883555
2018-11-03_5,309,SCL_L_309,SCL_L,SCL,L,693,2000,398,0.027652439353123063,-0.7970396799435895,0.2684207131732318,-0.26953835791784564,0.018320553,0.468603036248455,0.0004984399167863878,0.259427678289096,0.005537046692503533,2.929423515309906
2018-11-03_5,310,SCL_L_310,SCL_L,SCL,L,693,2000,398,0.07080673741779296,0.8928778521979827,0.2723663007888626,0.6727386444582087,0.017997738,0.17497821831449106,-0.0022808221583335386,-1.1871208087460987,0.000490263058947601,-0.29684766390555695
2018-11-03_5,902,SIP_L_902,SIP_L,SIP,L,693,2000,398,0.03273887518909983,-0.5978554160158324,0.26928966764190454,-0.062016464677280336,0.017788883,-0.014990990532658614,-0.0002728984583535291,-0.14203800914618697,-0.0005449470151594257,-0.9586292398618367
2018-11-03_5,903,SIP_L_903,SIP_L,SIP,L,693,2000,398,0.02673412317014572,-0.8330008399498798,0.26628292041392887,-0.7800815644498709,0.017730894,-0.06773706090792894,-0.00023346696643837097,-0.12151473230877276,-0.00022012191472004433,-0.7509774093245825
2018-11-03_5,904,SIP_L_904,SIP_L,SIP,L,693,2000,398,0.050696239989814935,0.10535300049725736,0.2658880771334276,-0.87437721290668,0.017729048,-0.06941603035327287,-0.0012301317782200485,-0.6402581744873199,0.0004988631868520044,-0.29134983661392144
2018-11-03_5,905,SIP_L_905,SIP_L,SIP,L,693,2000,398,0.04036799079658419,-0.29910009388077535,0.26689288889368495,-0.6344101647396015,0.019004887,1.0910568155117428,-0.00040313417786420083,-0.2098230103170366,0.002581912935133767,1.040287074282983
2018-11-03_5,906,SIP_L_906,SIP_L,SIP,L,693,2000,398,0.03969553209601244,-0.32543350210895133,0.2704653926451068,0.21876772758019128,0.019033894,1.1174408631124908,-0.0004661215659004846,-0.24260664439093135,0.0019166137295063476,0.61497943113397
2018-11-03_5,907,SIP_L_907,SIP_L,SIP,L,693,2000,398,0.03290353001750124,-0.5914075511739498,0.2686677320978645,-0.21054581371202227,0.018393796,0.5352230529283888,-0.00037592131579886973,-0.19565927786413234,0.00027636393874456294,-0.4335875396121697
2018-11-03_5,908,SIP_L_908,SIP_L,SIP,L,693,2000,398,0.046245505058047996,-0.06893728643630692,0.2686612363257624,-0.21209712045280693,0.018287078,0.43815456110040124,-0.0003887984869366436,-0.20236157938272384,-0.0002785393485917299,-0.7883220820802777
2018-11-03_5,871,SLP_L_871,SLP_L,SLP,L,693,2000,398,0.03879043437930705,-0.3608770284402015,0.26664242714908454,-0.6942249160270917,0.017100064,-0.64152444529987,-0.0003989424537651973,-0.20764130452981935,-0.0003115151679068199,-0.8094026243012507
2018-11-03_5,872,SLP_L_872,SLP_L,SLP,L,693,2000,398,0.03362131462553581,-0.5632991854301431,0.2673039208175062,-0.5362483782607508,0.018794816,0.8999812827011123,-0.00016381753126773013,-0.08526364034775324,-0.0006686527137683931,-1.037710920216264
2018-11-03_5,873,SLP_L_873,SLP_L,SLP,L,693,2000,398,0.043448623373212356,-0.17846286341235693,0.2693421454512783,-0.049483823731202393,0.017731681,-0.06702040694689917,-0.00012241447656657654,-0.06371420581520568,-0.00011236042950223737,-0.6820884298811148
2018-11-03_5,874,SLP_L_874,SLP_L,SLP,L,693,2000,398,0.02068716248100937,-1.0697991507329374,0.2634663014754771,-1.4527406227979216,0.018857205,0.9567290945798159,0.0003911671423853908,0.2035944156043835,,
2018-11-03_5,875,SLP_L_875,SLP_L,SLP,L,693,2000,398,0.04341099654150326,-0.17993632597427495,0.268786768912849,-0.18211768991327051,0.01855523,0.6820591809389983,-0.0007711440941178902,-0.40136456817740934,0.00025384834508813796,-0.4479811447617267
2018-11-03_5,876,SLP_L_876,SLP_L,SLP,L,693,2000,398,0.03097334486856446,-0.6669933878055507,0.26973097092202675,0.04337466395586073,0.019179607,1.2499777962505443,-5.549432392194436e-05,-0.02888364901854956,-0.0003755330829813839,-0.8503275319959764
