uid,neuron,phase,n_neurons_recording,n_time,n_windows,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2023-01-16-15,ASGR,spontaneous,70,802,50,0.009999562541380024,0.6598677618094801,0.004006610095882914,0.048242984557185946
2023-01-16-15,RIH,spontaneous,70,802,50,-0.00275431331421225,-0.18175620727908973,0.009556901853119987,1.4026759811385197
2023-01-16-15,IL1DR,spontaneous,70,802,50,-0.014609144567621362,-0.964052526087508,0.004452122795022708,0.15696107119184757
2023-01-16-15,AIBR,spontaneous,70,802,50,0.03083770877929266,2.034970008669609,0.004158140996286049,0.0852209418402554
2023-01-16-15,SAAVL,spontaneous,70,802,50,-0.013066647477463117,-0.8622636629979147,0.0007698359265821237,-0.7416242745228075
2023-01-16-15,RMER,spontaneous,70,802,50,0.023666872028246872,1.5617689083582027,0.0037241464634813737,-0.02068637641920238
2023-01-16-15,FLPR,spontaneous,70,802,50,-0.011658029488933783,-0.7693094367016167,-0.011623203861922097,-3.765887277563802
2023-01-16-15,AVER,spontaneous,70,802,50,0.0021385268940275056,0.14112066895844022,0.004384334824627223,0.1404188301906957
2023-01-16-15,URBL,spontaneous,70,802,50,0.009389025611880746,0.6195786356098534,0.004723769689013513,0.22325083265533002
2023-01-16-15,RID,spontaneous,70,802,50,0.020481409562644114,1.3515613138952445,0.005545451810687277,0.423765224866292
2023-01-16-15,AINL,spontaneous,70,802,50,0.0211561189352398,1.396085157985843,0.006173952348543625,0.5771376787975266
2023-01-16-15,AWBR,spontaneous,70,802,50,-0.006008322885567829,-0.396487202147261,0.006263978556852744,0.5991066981615959
2023-01-16-15,SMDVL,spontaneous,70,802,50,-0.006820267368574231,-0.45006714491954236,0.0017344647724648215,-0.5062267142748967
2023-01-16-15,IL1L,spontaneous,70,802,50,-0.009687525998401428,-0.6392765755084805,0.003625751105388195,-0.044697712316646966
2023-01-16-15,AIZR,spontaneous,70,802,50,0.0009264601372515911,0.061136792199065634,0.005205880604491327,0.34089995102532394
2023-01-16-15,RMEL,spontaneous,70,802,50,0.02006369060830905,1.3239961808884926,0.0035644447909717134,-0.059658240299018755
2023-01-16-15,IL1VR,spontaneous,70,802,50,-0.01135202794016514,-0.7491164976344711,0.006923939842419169,0.7601564917101733
2023-01-16-15,AVJL,spontaneous,70,802,50,-0.014290639171598313,-0.9430344623543954,-0.0051547453384034915,-2.1873948226675872
2023-01-16-15,IL2L,spontaneous,70,802,50,-0.013718852011571163,-0.9053024203818428,0.0074678644028618926,0.8928899415065775
2023-01-16-15,ADEL,spontaneous,70,802,50,-0.02991670530431746,-1.974193299775025,-0.003850159137543591,-1.869037757018676
2023-01-16-15,OLQDL,spontaneous,70,802,50,0.02013289243870645,1.32856278635233,0.004981392803031592,0.28611838296980574
2023-01-16-15,RMDVL,spontaneous,70,802,50,-0.017742366903226472,-1.1708128119791628,0.006103180716231141,0.5598673373058449
2023-01-16-15,IL1DL,spontaneous,70,802,50,-0.02323275197466533,-1.5331214723400737,-0.010660175225533903,-3.5308802150835037
2023-01-16-15,IL2VR,spontaneous,70,802,50,-0.010425621440554372,-0.6879832449652451,0.004108363279666322,0.07307372781383542
2023-01-16-15,BAGL,spontaneous,70,802,50,0.01972949207147914,1.3019425320828197,0.0062546806146171,0.5968377291929208
