neuron,n_recordings_basic,FCS_z,FCV_z,Metastability_z,FCS,FCV,Metastability,cluster_label,cluster_sort,n_recordings_te,NetTE_z,NeighborNetTE_z,NetTE,NeighborNetTE
AWAL,11,0.2814788640547371,1.3455116719476814,0.390551512662797,0.3306059182213116,0.3245931339405823,0.0364519222230445,M1,0,11,0.5697580887594141,0.5127129426257983,0.0070529372125492,0.0031203144629783
AWAR,10,-0.2948374582748663,0.4838935289519382,0.1555809527821182,0.2881074544993324,0.288016039519457,0.0352154333903398,M1,0,10,0.0027173179096804,0.6783408290427919,0.0004341124923105,0.0034530208890685
AWBL,18,-0.4151307808089167,0.1545541164424691,0.1631661828344913,0.2840088030199585,0.279440824813182,0.0335837960398935,M1,0,18,-0.4176092416377044,0.1393828781748156,-0.0052020033136648,0.0018761163628299
AWBR,10,-0.662448184947772,0.1069380800284587,0.226619206448723,0.2653939267071433,0.2765062062696511,0.0320340687543739,M1,0,10,-0.7266547033090589,0.4395670692425251,-0.0088683483740559,0.0029432908790485
AWCL,17,-0.2670218821619974,0.5427028941217626,0.1611811370949316,0.2940412419712117,0.2917049800173063,0.0340529875606972,M1,0,17,0.220764256719085,0.3762195360993572,0.0026540904219437,0.0026259219902764
AWCR,10,-0.2821991451686215,0.0518635473638019,-0.0734244288755733,0.2815100188941553,0.2647004297455022,0.0284864419541622,M1,0,10,-0.146920948119146,0.7513565352831796,-0.0019962795601212,0.0030700350575188
RIML,7,1.7321151330712234,0.3367007725585455,0.1347356916633335,0.4204959927341847,0.2771146524189468,0.0327370152147494,M1,0,7,0.8038556193828974,-0.2777155046202448,0.0101830748895193,0.0010147411980675
RIR,4,0.176242064444116,1.3224445420771658,-0.2299020760075417,0.3178047360622885,0.3129590749514956,0.0345902055583976,M1,0,4,0.3583953325588883,0.2765633203751754,0.005558382984393,0.0033874573954432
AIMR,4,0.6501032377061084,1.319047243871078,0.4947187157414163,0.3470875500972324,0.3174599539988551,0.0300801294684934,M2,1,4,0.516844859163836,0.7005863850810321,0.0058811806562296,0.0032346311529796
AINL,12,-0.0465099300061018,1.0626446036574329,-0.3429763420958737,0.2991736813373989,0.3046100786259682,0.0303720692950886,M2,1,12,0.7613144118012007,0.3693646975121035,0.009232439276181,0.0026511791697899
AINR,11,-0.328706347251252,0.461576805941561,-0.2337055700554882,0.2870425320492586,0.2849239847218119,0.0297751675092486,M2,1,11,-0.0797055397607503,0.5009926336007197,-0.0008413954077358,0.0032433743917772
ALA,2,-0.6413014606522776,0.5662209489251457,0.1348294783310842,0.2711131764748088,0.2842120069600508,0.0360432909423389,M2,1,2,-0.3452583039264525,0.4971243960388791,-0.0038847736938717,0.0026913553225612
ASKR,3,-0.7778251937922107,0.0202344634807611,0.3944017775922763,0.2616971872821509,0.2820528262785536,0.0477985168896445,M2,1,3,-0.4946845575562009,0.6684063874465238,-0.0061611512250556,0.0035321556420069
AUAL,16,0.3520089094623792,-0.2011927293574845,0.1684973674099781,0.3315179544169675,0.2653811307069574,0.0338779186897303,M2,1,16,-0.3198354981408931,0.1132561469642745,-0.0037279052133761,0.0019387366848992
AUAR,7,0.3325792283846442,-0.7271265886675303,0.3282046800710403,0.3267200445650124,0.2412548757726361,0.0334630365162673,M2,1,7,0.2572918601562892,-0.385231699414816,0.0046049489681179,0.0008744009168651
AVEL,12,1.898368996609774,-0.0298429318731385,0.2885504669742499,0.4326299282417474,0.2771922767719461,0.0350836499539035,M2,1,12,1.4547974075339718,-0.2813532897981842,0.0170069366098261,0.0010070406979721
AVER,14,1.7248562475359244,0.0964868710608328,0.1770312957698881,0.4241832439971906,0.2809042311449296,0.0344714917643353,M2,1,14,0.9800856453208816,-0.2123984593077606,0.0119573598072863,0.001336507159921
AVKL,2,0.4937921581364022,1.373092568357067,1.2417156701817054,0.3364053586204147,0.3067044187401492,0.0439105079398588,M2,1,2,1.1837755077614474,0.0791321885562974,0.0139501653376598,0.001779829969318
AVKR,2,-0.0582382019892282,0.931628034121462,0.8102393719770498,0.2941317909796624,0.2858724470199841,0.0273086657725068,M2,1,2,-0.3437957820331651,0.1780742139187743,-0.0036558194408214,0.001565746444957
AVL,5,-0.3083625041156642,0.1897095373934031,0.6690786557601237,0.2843259075777115,0.2619929976450993,0.0364960449086701,M2,1,5,-0.0800993852484668,0.6065691549961272,-0.0009182748923633,0.0028661564331686
