Subject,StimulusIndex,Region,RegionID,Division,PostDCA,FCShift,NTimepoints,SpotNeuronCount,StimNeuronCount,Definition
12,0,lOB,20,Tel,0.8396904821626903,4.149554361472191,44,223,223,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rMOS5,42,Hind,0.14031625821006288,1.7585350085819946,44,1530,1530,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rNX,71,Hind,-0.6893400895121092,1.93302521122871,44,484,484,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rRa,46,Hind,-0.7676411283127857,2.7885311436218796,44,201,201,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rT,47,Hind,-1.0407411074881572,1.9919749323267044,44,1437,1437,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,raRF,48,Hind,-0.6631233902290617,2.0523489818375515,44,208,208,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rimRF,49,Hind,-1.54619502907132,1.876729338260024,44,436,436,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rpRF,50,Hind,0.10367599956677641,2.4154698260727656,44,535,535,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lOB,20,Tel,0.8396904821626903,1.2160213553310009,1196,223,223,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lP,22,Tel,1.231407127758574,1.6219607137626972,1196,933,933,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lPO,25,Tel,1.5972895725725633,2.2632754602847136,1196,425,425,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lSP,28,Tel,1.3712731940440057,1.73884266544188,1196,679,679,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rP,58,Tel,1.6274838194004198,1.4321287798402684,1196,976,976,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rPO,61,Tel,1.5828504374539252,2.0638752103730225,1196,382,382,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rSP,64,Tel,0.8449219250677052,1.7428083971799344,1196,658,658,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lHb,16,Di,2.3676084202295034,2.5997953411598447,1196,309,309,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lPT,24,Di,0.4045887279983318,1.4777888564106147,1196,379,379,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
